freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience, hourly_rate (USD) ,rating,is_active,client_satisfaction
FL250022,Samuel Sanford,Male,51,Japan,Japanese,DevOps,0, NA ,2.4,No,69%
FL250023,Cesar Greene,Male,51,Brazil,Portuguese,Cybersecurity,21, $30.00 ,4.7,No,NA
FL250024,Melanie Carter,Female,51,South Korea,Korean,Machine Learning,15, $50.00 ,1.3,Yes,100%
FL250025,Jennifer Martin,Female,54,Indonesia,Indonesian,Machine Learning,13, $75.00 ,2.9,No,92
FL250026,Anna Mccann,Female,22,South Korea,Korean,DevOps,0, $30.00 ,1.2,Yes,70%
FL250027,Marissa Bass,Female,34,Japan,Japanese,Blockchain Development,8, $20.00 ,0.0,Yes,89%
FL250028,Alexis Day,Female,36,Russia,Russian,Graphic Design,11, NA ,1.8,Yes,86%
FL250029,Megan Jones,Female,47,Canada,English,Artificial Intelligence,22, $30.00 ,1.3,No,62%
FL250030,Lori Smith,Female,41,Netherlands,Dutch,Data Analysis,14, $75.00 ,1.2,No,NA
FL250031,Eric Carpenter,Male,22,Netherlands,Dutch,DevOps,4, NA ,1.0,Yes,NA
FL250032,Timothy Daniels,Male,38,France,French,Machine Learning,19, $100.00 ,4.2,No,68%
FL250033,Robert Nelson,Male,46,Egypt,Arabic,Artificial Intelligence,9, $20.00 ,1.4,Yes,76%
FL250034,Michael Anderson,Male,41,South Korea,Korean,Artificial Intelligence,9, $40.00 ,2.4,Yes,82
FL250035,Jessica Snyder,Female,54,United States,English,Web Development,32, $75.00 ,1.0,Yes,81%
FL250036,Emily Daniels,Female,52,South Korea,Korean,Web Development,28, $20.00 ,NA,No,NA
FL250037,Jamie Ramirez,Female,42,Japan,Japanese,Mobile Apps,6, $40.00 ,NA,No,63%
FL250038,Amy Harrison,Female,29,Netherlands,Dutch,Graphic Design,10, $40.00 ,2.2,No,67%
FL250039,Melinda White,Female,42,South Africa,Afrikaans,Mobile Apps,23, $50.00 ,3.2,Yes,NA
FL250040,James Hernandez,Male,60,Japan,Japanese,Web Development,13, $20.00 ,3.6,No,80%
FL250041,Angelica Rogers,Female,59,United Kingdom,English,Artificial Intelligence,3, $50.00 ,0.0,Yes,NA
FL250042,Savannah Williams,Female,21,Canada,English,Web Development,0, $30.00 ,2.7,Yes,84%
FL250043,Kaitlyn Schmidt,Female,35,Germany,German,DevOps,10, $50.00 ,0.0,Yes,NA
FL250044,Jason Singh,Male,41,United Kingdom,English,Data Analysis,0, $20.00 ,2.8,Yes,63%
FL250045,Michelle Ramirez,Female,51,Netherlands,Dutch,Machine Learning,23, $20.00 ,2.5,No,80%
FL250046,James Brown,Male,41,South Africa,Afrikaans,Web Development,9, $75.00 ,4.9,Yes,74%
FL250047,Mrs. Samantha Simmons,Female,47,Egypt,Arabic,DevOps,15, $30.00 ,4.5,Yes,85%
FL250048,Chase Mason,Male,25,China,Mandarin,Graphic Design,4, $50.00 ,2.7,No,77%
FL250049,Dominique Ward,Female,25,Mexico,Spanish,Mobile Apps,7, $20.00 ,1.9,No,NA
FL250050,Lance Griffin,Male,29,Netherlands,Dutch,UI/UX Design,1, $20.00 ,1.4,Yes,63%
FL250051,Julie Burgess,Female,23,Argentina,Spanish,Cybersecurity,0, $75.00 ,1.9,Yes,79%
FL250052,Don Scott,Male,31,France,French,Data Analysis,8, $50.00 ,3.4,No,NA
FL250053,Kyle Atkinson,Male,51,Germany,German,Machine Learning,33, $75.00 ,3.3,No,68%
FL250054,Jimmy Hogan,Male,41,Spain,Spanish,UI/UX Design,1, $30.00 ,0.0,No,68%
FL250055,Jennifer Mcintyre,Female,29,Turkey,Turkish,Cybersecurity,11, $100.00 ,2.3,Yes,72%
FL250056,Larry Simpson,Male,50,United Kingdom,English,Artificial Intelligence,15, NA ,2.0,Yes,65%
FL250057,Laura Price,Female,26,United Kingdom,English,DevOps,8, $50.00 ,1.3,No,76%
FL250058,Mark Wright,Male,38,Canada,English,Artificial Intelligence,17, $40.00 ,4.0,Yes,90%
FL250059,Samantha Mcdaniel,Female,23,India,Hindi,Mobile Apps,0, $75.00 ,3.6,Yes,65%
FL250060,Barbara Foster,Female,51,South Africa,Afrikaans,DevOps,28, $40.00 ,3.9,No,63%
FL250061,Courtney Tran,Female,51,Indonesia,Indonesian,Artificial Intelligence,33, $75.00 ,0.0,Yes,NA
FL250062,Eddie Todd,Male,47,Germany,German,Artificial Intelligence,18, $75.00 ,0.0,No,NA
FL250063,Christine Johnson,Female,34,Russia,Russian,UI/UX Design,16, $20.00 ,2.3,Yes,93%
FL250064,Leah Phelps,Female,58,Indonesia,Indonesian,Data Analysis,35, $50.00 ,4.7,Yes,70%
FL250065,Rebekah Williams,Female,50,Russia,Russian,Artificial Intelligence,14, NA ,3.5,Yes,83%
FL250066,Crystal Wilson,Female,34,Spain,Spanish,Web Development,12, $40.00 ,2.4,Yes,64
FL250067,Ashley Cordova,Female,45,Brazil,Portuguese,Artificial Intelligence,11, $75.00 ,4.0,No,100%
FL250068,Vicki Kelly,Female,55,Brazil,Portuguese,Web Development,0, $40.00 ,0.0,Yes,NA
FL250069,Corey Warren,Male,41,Argentina,Spanish,UI/UX Design,6, $100.00 ,1.5,No,NA
FL250070,Gina Thompson,Female,60,China,Mandarin,UI/UX Design,38, $20.00 ,2.0,Yes,71%
FL250071,Yvonne Berg,Female,33,South Africa,Afrikaans,Mobile Apps,11, NA ,NA,Yes,84%
FL250072,Thomas Miller,Male,60,Italy,Italian,DevOps,13, $50.00 ,1.0,No,NA
FL250073,Nicholas Burton,Male,40,United States,English,Web Development,9, $100.00 ,4.5,Yes,69%
FL250074,Jorge Riley,Male,59,Australia,English,Blockchain Development,4, NA ,1.9,No,88
FL250075,Melvin Harris,Male,36,Italy,Italian,Machine Learning,14, $100.00 ,3.7,No,NA
FL250076,Jeremy Meyer,Male,32,India,Hindi,Data Analysis,0, $30.00 ,1.9,Yes,96%
FL250077,Timothy Lee,Male,59,Australia,English,Artificial Intelligence,9, $75.00 ,4.0,Yes,96
FL250078,Diana Bautista,Female,54,Spain,Spanish,DevOps,32, $40.00 ,1.8,No,NA
FL250079,Leslie Rodriguez,Female,37,Canada,English,Graphic Design,9, NA ,0.0,Yes,89%
FL250080,Noah Wiggins,Male,54,India,Hindi,Machine Learning,21, $100.00 ,4.6,No,NA
FL250081,Bridget Williams,Female,33,Argentina,Spanish,UI/UX Design,12, $100.00 ,3.6,No,63%
FL250082,Veronica Baker,Female,25,Egypt,Arabic,Web Development,7, $40.00 ,4.4,No,81
FL250083,Andrew Avila,Male,41,China,Mandarin,DevOps,3, $40.00 ,4.6,No,74%
FL250084,Michael Roberson,Male,35,South Korea,Korean,Web Development,5, $75.00 ,3.2,No,72%
FL250085,Austin Jenkins,Male,59,South Korea,Korean,Artificial Intelligence,30, $40.00 ,0.0,Yes,NA
FL250086,Brenda Green,Female,21,China,Mandarin,DevOps,2, $100.00 ,2.6,Yes,85%
FL250087,Samuel Pierce,Male,25,United States,English,Mobile Apps,2, $75.00 ,3.7,No,NA
FL250088,Briana Smith,Female,38,Mexico,Spanish,Web Development,19, $75.00 ,2.3,No,61%
FL250089,Ronald Barrett,Male,57,Russia,Russian,Artificial Intelligence,16, $100.00 ,3.1,No,NA
FL250090,Matthew Smith,Male,32,India,Hindi,Mobile Apps,10, $20.00 ,2.4,No,86%
FL250091,Logan Huang,Male,21,Italy,Italian,DevOps,2, $100.00 ,1.6,Yes,97%
FL250092,Miranda Hutchinson,Female,57,Canada,English,Cybersecurity,18, $50.00 ,2.4,Yes,63%
FL250093,Paul Richardson,Male,53,China,Mandarin,UI/UX Design,21, $100.00 ,NA,Yes,97%
FL250094,Jose Jones,Male,35,Russia,Russian,Blockchain Development,3, $30.00 ,3.8,Yes,81%
FL250095,Denise Smith,Female,54,China,Mandarin,Machine Learning,17, $20.00 ,1.7,No,69%
FL250096,Shelby Mcmahon,Female,36,Italy,Italian,UI/UX Design,0, $20.00 ,1.3,Yes,64%
FL250097,Bethany Wright,Female,49,Spain,Spanish,Cybersecurity,25, $50.00 ,5.0,No,77%
FL250098,David Ortiz,Male,37,United States,English,Blockchain Development,17, $20.00 ,3.3,No,96
FL250099,Andrew Lynch,Male,41,United States,English,UI/UX Design,5, $20.00 ,1.1,Yes,74%
FL250100,Kristopher Meyers,Male,32,Egypt,Arabic,UI/UX Design,10, $50.00 ,1.2,No,89%
FL250101,Thomas Roth,Male,35,India,Hindi,Mobile Apps,0, NA ,2.0,Yes,64%
FL250102,Vicki Brown,Female,51,Russia,Russian,Graphic Design,2, $30.00 ,4.5,No,64
FL250103,Stacy Sutton,Female,50,Russia,Russian,DevOps,30, $100.00 ,3.0,Yes,73%
FL250104,Kimberly Holland,Female,21,Turkey,Turkish,Blockchain Development,2, $50.00 ,4.9,Yes,68%
FL250105,Travis Richardson,Male,25,United States,English,Graphic Design,3, $30.00 ,NA,Yes,88%
FL250106,Jasmin Ho,Female,57,France,French,DevOps,21, $40.00 ,2.5,No,77%
FL250107,Mark Paul,Male,58,Russia,Russian,Blockchain Development,3, NA ,0.0,Yes,NA
FL250108,Jennifer Lewis,Female,45,Indonesia,Indonesian,Mobile Apps,19, $40.00 ,NA,Yes,72%
FL250109,Elizabeth Lester,Female,23,United States,English,Web Development,0, $20.00 ,4.7,Yes,60%
FL250110,Kimberly Griffin,Female,46,United States,English,Artificial Intelligence,9, $30.00 ,3.5,No,72
FL250111,Tyler Warner,Male,27,Argentina,Spanish,UI/UX Design,5, $30.00 ,NA,No,92%
FL250112,Jane Cox,Female,32,United States,English,Machine Learning,6, $50.00 ,3.4,Yes,NA
FL250113,Leah Williams,Female,48,Argentina,Spanish,Machine Learning,6, $75.00 ,2.5,No,92%
FL250114,Kevin Wong,Male,30,Turkey,Turkish,Mobile Apps,3, $30.00 ,1.1,Yes,NA
FL250115,Robert Andrews,Male,59,Turkey,Turkish,Artificial Intelligence,13, $20.00 ,4.8,No,NA
FL250116,Jessica Torres,Female,32,Mexico,Spanish,Artificial Intelligence,5, $30.00 ,NA,No,86%
FL250117,Teresa Kim,Female,57,Egypt,Arabic,UI/UX Design,4, $40.00 ,3.4,Yes,68%
FL250118,Jon Morgan,Male,27,Australia,English,Machine Learning,7, $20.00 ,3.2,Yes,62%
FL250119,Gloria Chaney,Female,33,Indonesia,Indonesian,Machine Learning,13, $20.00 ,3.2,No,NA
FL250120,Jesse Campbell,Male,29,South Korea,Korean,Data Analysis,4, $30.00 ,0.0,Yes,82%
FL250121,Allison Tucker Md,Female,36,Indonesia,Indonesian,UI/UX Design,13, $75.00 ,NA,Yes,NA
FL250122,Candice Petersen,Female,47,Italy,Italian,DevOps,5, $40.00 ,3.7,No,93
FL250123,Christopher Nichols,Male,48,Canada,English,Machine Learning,15, $50.00 ,1.0,Yes,64%
FL250124,Debra Garcia,Female,27,China,Mandarin,UI/UX Design,8, $50.00 ,0.0,No,NA
FL250125,Andrew Fuentes,Male,34,Australia,English,Web Development,10, NA ,1.7,No,96%
FL250126,Jason Carter,Male,49,South Korea,Korean,Data Analysis,19, NA ,5.0,Yes,83%
FL250127,Austin Romero,Male,30,Brazil,Portuguese,Mobile Apps,10, $100.00 ,1.7,Yes,64%
FL250128,Clayton Burns,Male,31,Egypt,Arabic,Graphic Design,8, $40.00 ,4.4,No,70%
FL250129,Jonathan Clark,Male,58,China,Mandarin,Machine Learning,9, $20.00 ,0.0,No,65%
FL250130,Alexander Griffin,Male,47,France,French,Machine Learning,13, $40.00 ,3.4,No,67%
FL250131,Shelly Whitehead,Female,45,United Kingdom,English,Cybersecurity,14, $100.00 ,1.1,Yes,93
FL250132,Kaitlyn Davis,Female,57,France,French,Machine Learning,0, $50.00 ,1.6,No,60%
FL250133,Christopher Jones,Male,50,India,Hindi,Web Development,22, $100.00 ,4.1,No,62%
FL250134,Cindy Jacobs,Female,41,Brazil,Portuguese,Machine Learning,4, NA ,2.5,No,70%
FL250135,Penny Day,Female,45,Indonesia,Indonesian,Blockchain Development,22, $100.00 ,4.0,Yes,75%
FL250136,Thomas Ingram,Male,60,South Africa,Afrikaans,Cybersecurity,39, $75.00 ,1.4,Yes,70%
FL250137,Donna Hansen,Female,43,United Kingdom,English,Cybersecurity,5, $50.00 ,NA,Yes,84%
FL250138,Donna Bailey,Female,39,France,French,Cybersecurity,5, $40.00 ,1.2,No,83
FL250139,Joshua Armstrong,Male,26,Mexico,Spanish,UI/UX Design,5, $50.00 ,0.0,No,NA
FL250140,Jonathan Garza,Male,31,Germany,German,Cybersecurity,11, $50.00 ,3.1,No,88%
FL250141,Charles Jones,Male,52,France,French,UI/UX Design,15, $50.00 ,0.0,Yes,81%
FL250142,Lindsey Miles,Female,34,India,Hindi,Data Analysis,5, $20.00 ,2.2,Yes,80%
FL250143,Eduardo Reed,Male,45,United Kingdom,English,Web Development,7, $75.00 ,3.0,Yes,67%
FL250144,Lee Fowler,Male,46,United Kingdom,English,Cybersecurity,9, $20.00 ,0.0,No,82%
FL250145,Steven Jones Jr.,Male,56,France,French,UI/UX Design,21, $100.00 ,0.0,Yes,78
FL250146,Ashley Chen,Female,59,Germany,German,Artificial Intelligence,7, $40.00 ,1.4,No,81%
FL250147,Erica Davis,Female,54,Egypt,Arabic,Blockchain Development,4, NA ,1.4,Yes,74%
FL250148,Wayne Gonzales,Male,36,Germany,German,UI/UX Design,7, $30.00 ,0.0,No,88%
FL250149,Gary Ballard,Male,25,Mexico,Spanish,Data Analysis,0, $40.00 ,0.0,No,90%
FL250150,Maria Mcguire,Female,37,Russia,Russian,Data Analysis,15, $40.00 ,2.9,No,NA
FL250151,Matthew Richards,Male,41,Turkey,Turkish,Data Analysis,10, $40.00 ,0.0,No,NA
FL250152,Patrick Malone,Male,29,Spain,Spanish,Data Analysis,11, $20.00 ,2.7,Yes,93%
FL250153,Cindy Martin,Female,55,Argentina,Spanish,Mobile Apps,12, $100.00 ,1.8,Yes,NA
FL250154,Anne Edwards,Female,38,Japan,Japanese,DevOps,20, $75.00 ,1.1,Yes,71%
FL250155,Mitchell Martin,Male,47,South Korea,Korean,DevOps,29, $40.00 ,4.3,Yes,95%
FL250156,Mitchell Patrick,Male,60,Brazil,Portuguese,Web Development,15, $100.00 ,1.5,No,80
FL250157,Rebecca Lyons,Female,43,Italy,Italian,Data Analysis,9, $20.00 ,2.2,No,NA
FL250158,Christian Lopez,Male,56,South Africa,Afrikaans,Data Analysis,0, $100.00 ,3.2,No,62%
FL250159,Nathan Blair,Male,42,Russia,Russian,DevOps,2, $50.00 ,1.9,No,95%
FL250160,Patricia Lopez,Female,20,Spain,Spanish,Graphic Design,0, $40.00 ,2.5,No,79%
FL250161,Michelle Wu,Female,47,Indonesia,Indonesian,UI/UX Design,12, $40.00 ,4.5,Yes,62%
FL250162,Donald Mitchell,Male,41,Argentina,Spanish,Data Analysis,12, $30.00 ,4.1,Yes,68%
FL250163,Sean Gordon,Male,56,Indonesia,Indonesian,DevOps,15, $75.00 ,0.0,Yes,NA
FL250164,Gregory Clarke,Male,59,United Kingdom,English,DevOps,29, $75.00 ,NA,No,80%
FL250165,Steven Whitney,Male,56,Japan,Japanese,Cybersecurity,15, $40.00 ,3.7,No,92%
FL250166,Robin Acosta,Female,31,South Africa,Afrikaans,Web Development,0, $75.00 ,1.3,Yes,65%
FL250167,John Smith,Male,60,South Korea,Korean,Mobile Apps,33, $40.00 ,3.6,Yes,87%
FL250168,Susan Baker,Female,31,Canada,English,Web Development,10, $75.00 ,0.0,Yes,70%
FL250169,Anthony Larsen,Male,60,Argentina,Spanish,Cybersecurity,20, $40.00 ,1.4,Yes,87
FL250170,Nicholas Carpenter,Male,46,France,French,DevOps,23, $20.00 ,2.9,No,72%
FL250171,Debra Salazar,Female,41,Netherlands,Dutch,Blockchain Development,0, $40.00 ,2.8,No,80%
FL250172,William Smith,Male,34,Japan,Japanese,UI/UX Design,0, $20.00 ,1.7,No,66%
FL250173,Caroline Gross,Female,42,Netherlands,Dutch,Graphic Design,7, $40.00 ,0.0,Yes,NA
FL250174,Jeremy Sawyer,Male,31,United Kingdom,English,Data Analysis,4, $75.00 ,1.1,Yes,64%
FL250175,Eduardo Burns,Male,29,Brazil,Portuguese,UI/UX Design,9, $20.00 ,NA,No,68%
FL250176,Amanda Jones,Female,57,Australia,English,Graphic Design,17, $20.00 ,3.6,No,63%
FL250177,Frederick Ware,Male,47,India,Hindi,DevOps,8, $20.00 ,4.5,Yes,72%
FL250178,Michael Black,Male,47,South Africa,Afrikaans,Artificial Intelligence,14, $30.00 ,0.0,Yes,86%
FL250179,Patricia Sanders,Female,45,France,French,Graphic Design,21, $30.00 ,1.5,Yes,73%
FL250180,Marc Joseph,Male,24,Turkey,Turkish,Machine Learning,1, $30.00 ,3.7,Yes,95%
FL250181,Vanessa White,Female,31,Argentina,Spanish,Mobile Apps,12, $20.00 ,2.3,No,90%
FL250182,Jennifer Garcia,Female,20,Mexico,Spanish,Graphic Design,2, $20.00 ,2.8,No,78%
FL250183,Michael Zavala,Male,38,Japan,Japanese,Web Development,3, $30.00 ,3.5,Yes,97%
FL250184,Kimberly Williams,Female,33,Germany,German,UI/UX Design,11, NA ,0.0,Yes,65%
FL250185,Elizabeth Jenkins,Female,31,Australia,English,Web Development,4, $40.00 ,3.2,Yes,78%
FL250186,Brandon Ford,Male,41,Spain,Spanish,Machine Learning,21, $50.00 ,3.3,Yes,65%
FL250187,Justin House,Male,54,Turkey,Turkish,Web Development,0, $20.00 ,4.9,No,NA
FL250188,Henry Mullen,Male,50,Mexico,Spanish,Data Analysis,6, $30.00 ,2.2,Yes,95%
FL250189,Jesse Cochran,Male,48,Brazil,Portuguese,Machine Learning,18, $40.00 ,NA,Yes,88%
FL250190,Melissa Rich,Female,49,Mexico,Spanish,Graphic Design,0, NA ,1.8,No,NA
FL250191,Patrick Dunlap,Male,21,South Korea,Korean,Graphic Design,1, $75.00 ,4.6,No,92%
FL250192,Troy Carson,Male,58,Australia,English,Graphic Design,20, $75.00 ,2.8,Yes,75%
FL250193,Matthew Smith,Male,41,Italy,Italian,DevOps,0, $30.00 ,1.4,No,74%
FL250194,Jennifer Cherry,Female,58,Russia,Russian,Blockchain Development,25, $30.00 ,4.2,Yes,71%
FL250195,Brandi Tucker,Female,50,South Africa,Afrikaans,Graphic Design,20, $40.00 ,3.6,Yes,89%
FL250196,Zachary Burke,Male,52,Indonesia,Indonesian,Web Development,33, $100.00 ,1.6,No,66%
FL250197,Thomas Jones,Male,34,Netherlands,Dutch,Data Analysis,6, $100.00 ,2.0,Yes,NA
FL250198,Brian Dunn,Male,32,France,French,Machine Learning,11, $40.00 ,4.3,Yes,86%
FL250199,Shirley Strickland,Female,50,India,Hindi,Graphic Design,28, $100.00 ,4.9,Yes,86%
FL250200,Nicole Meyers,Female,39,Argentina,Spanish,Data Analysis,11, $100.00 ,3.5,Yes,82%
FL250201,Jill Stephens,Female,25,Spain,Spanish,Artificial Intelligence,2, $100.00 ,2.5,Yes,87
FL250202,Heidi Miranda,Female,55,China,Mandarin,Machine Learning,7, $100.00 ,1.7,Yes,80%
FL250203,Jesus Martinez,Male,42,Italy,Italian,DevOps,10, $100.00 ,4.6,Yes,71%
FL250204,Adam Payne,Male,43,Russia,Russian,Mobile Apps,6, $50.00 ,NA,No,77%
FL250205,Walter Williams,Male,54,Italy,Italian,DevOps,29, $30.00 ,1.7,No,68
FL250206,Shannon Farmer,Female,21,Egypt,Arabic,Graphic Design,0, $20.00 ,1.8,No,91%
FL250207,Peter Reyes,Male,46,Canada,English,UI/UX Design,5, $20.00 ,2.2,No,75%
FL250208,Kristen Knight,Female,30,Spain,Spanish,Blockchain Development,11, $40.00 ,1.0,No,90%
FL250209,William Moore Jr.,Male,36,China,Mandarin,Machine Learning,11, $75.00 ,3.2,No,93
FL250210,Jennifer Rowe,Female,47,Germany,German,Data Analysis,15, $40.00 ,2.1,Yes,94%
FL250211,Mikayla Henry,Female,43,Canada,English,Mobile Apps,1, $50.00 ,4.6,Yes,64
FL250212,Jacob Kerr,Male,57,South Korea,Korean,Cybersecurity,8, $20.00 ,0.0,Yes,84%
FL250213,Ryan Johnson,Male,52,Italy,Italian,Machine Learning,30, $20.00 ,2.8,Yes,87%
FL250214,Michael Ruiz,Male,41,Germany,German,Blockchain Development,8, $40.00 ,0.0,No,64%
FL250215,Monica Roberts,Female,22,Indonesia,Indonesian,Machine Learning,0, $100.00 ,2.7,Yes,64%
FL250216,Danny Brown,Male,41,India,Hindi,Machine Learning,12, $20.00 ,0.0,Yes,80%
FL250217,Karen Larsen,Female,58,Spain,Spanish,Mobile Apps,4, $50.00 ,3.1,No,90%
FL250218,Robert Evans,Male,39,South Korea,Korean,Web Development,14, $100.00 ,0.0,Yes,92%
FL250219,Sean Poole,Male,32,Indonesia,Indonesian,Graphic Design,14, NA ,NA,No,96%
FL250220,Richard Quinn,Male,37,Canada,English,UI/UX Design,2, $30.00 ,2.3,Yes,NA
FL250221,Jennifer Gonzalez,Female,21,China,Mandarin,Cybersecurity,2, $100.00 ,2.4,Yes,NA
FL250222,James Skinner,Male,41,South Korea,Korean,Machine Learning,4, $75.00 ,2.6,No,85%
FL250223,Michelle Hill,Female,21,Canada,English,Artificial Intelligence,0, $40.00 ,1.1,No,79%
FL250224,Jacqueline Williams,Female,58,China,Mandarin,Machine Learning,9, $30.00 ,0.0,Yes,65%
FL250225,Darrell Johnson,Male,60,Canada,English,Machine Learning,3, $40.00 ,4.7,No,63%
FL250226,Ryan Crawford,Male,27,South Africa,Afrikaans,Web Development,2, $40.00 ,1.2,No,NA
FL250227,Chelsea Barber,Female,29,Germany,German,Machine Learning,10, $40.00 ,1.2,No,78%
FL250228,Elaine Martinez,Female,54,Canada,English,Graphic Design,33, $75.00 ,0.0,Yes,62%
FL250229,Joseph Kent,Male,52,Mexico,Spanish,Machine Learning,12, $40.00 ,1.2,No,76%
FL250230,Megan Welch,Female,55,Indonesia,Indonesian,Blockchain Development,18, $100.00 ,2.9,No,97
FL250231,Stephen Ramirez,Male,37,Brazil,Portuguese,Blockchain Development,4, NA ,NA,No,NA
FL250232,Chloe Gray,Female,34,Egypt,Arabic,Data Analysis,11, $50.00 ,3.9,Yes,82%
FL250233,Michael Williams Jr.,Male,20,France,French,Data Analysis,1, $50.00 ,3.1,No,71%
FL250234,Matthew Martin,Male,22,Mexico,Spanish,UI/UX Design,2, NA ,0.0,Yes,NA
FL250235,Julia Murphy,Female,23,South Korea,Korean,Graphic Design,2, $50.00 ,3.2,Yes,NA
FL250236,Anna Evans,Female,53,South Korea,Korean,Blockchain Development,34, $30.00 ,NA,Yes,NA
FL250237,Brenda Fleming,Female,56,South Korea,Korean,Graphic Design,27, $100.00 ,4.7,Yes,69%
FL250238,Daniel Harrington,Male,27,Canada,English,Artificial Intelligence,4, $75.00 ,5.0,No,88%
FL250239,Daniel Barnett,Male,34,Italy,Italian,Mobile Apps,11, $40.00 ,NA,No,67%
FL250240,Mark Cummings,Male,29,United States,English,Web Development,4, $50.00 ,4.0,No,NA
FL250241,Christopher Guerra,Male,34,India,Hindi,Artificial Intelligence,11, NA ,1.2,Yes,NA
FL250242,Sarah Ho,Female,32,Mexico,Spanish,Artificial Intelligence,1, $100.00 ,4.7,No,67%
FL250243,Veronica Thomas,Female,21,South Africa,Afrikaans,Machine Learning,2, $20.00 ,2.4,No,86%
FL250244,Mitchell Watson,Male,20,Mexico,Spanish,Graphic Design,2, NA ,1.1,No,69%
FL250245,Monica Murphy,Female,35,United States,English,Mobile Apps,10, $50.00 ,1.4,Yes,85%
FL250246,Kristen Williams,Female,47,United States,English,UI/UX Design,18, $40.00 ,3.4,No,60
FL250247,Nicole Wright,Female,41,Turkey,Turkish,Blockchain Development,4, $40.00 ,2.7,Yes,70
FL250248,Andrew Ruiz,Male,58,Argentina,Spanish,Web Development,23, NA ,4.9,No,NA
FL250249,Zachary Jackson,Male,34,China,Mandarin,Data Analysis,6, $75.00 ,1.9,Yes,81%
FL250250,Stephanie Carter,Female,50,India,Hindi,Mobile Apps,5, $100.00 ,NA,Yes,NA
FL250251,Amy Olson,Female,42,Mexico,Spanish,DevOps,19, $75.00 ,4.6,No,78%
FL250252,Fred Stark,Male,43,Germany,German,UI/UX Design,6, $50.00 ,0.0,No,81
FL250253,Jacob Gill,Male,34,Germany,German,Data Analysis,8, $75.00 ,1.8,Yes,71%
FL250254,Anthony Nichols,Male,24,Spain,Spanish,Mobile Apps,3, $75.00 ,2.0,No,NA
FL250255,William Knapp,Male,48,South Africa,Afrikaans,UI/UX Design,8, $30.00 ,5.0,Yes,99%
FL250256,Elizabeth Walker,Female,39,South Korea,Korean,Data Analysis,12, $20.00 ,3.2,Yes,66%
FL250257,Brenda Reeves,Female,57,Australia,English,Blockchain Development,30, $30.00 ,2.4,No,80%
FL250258,Carrie Little,Female,44,Canada,English,Web Development,21, $100.00 ,2.9,No,83%
FL250259,Steven Jackson,Male,37,Brazil,Portuguese,UI/UX Design,17, $20.00 ,0.0,Yes,87
FL250260,Mark Perry,Male,50,Turkey,Turkish,Data Analysis,9, $30.00 ,3.0,No,76
FL250261,Cameron Spencer,Male,50,Spain,Spanish,UI/UX Design,2, $50.00 ,1.6,Yes,89%
FL250262,Jennifer Holmes,Female,28,France,French,Graphic Design,1, $20.00 ,3.6,Yes,94%
FL250263,Jacob Joseph,Male,48,Italy,Italian,Web Development,23, NA ,2.1,No,68%
